wl_calc,spectrum_peak_nm_fit
1543.3966968281711,1543.2108053297163
1543.3971968281712,1543.2115279379962
1543.3976968281713,1543.2122504448641
1543.3981968281714,1543.2129728501884
1543.3986968281715,1543.2136951538375
1543.3991968281716,1543.21441735568
1543.3996968281717,1543.2151394555838
1543.4001968281718,1543.2158614534173
1543.400696828172,1543.2165833490492
1543.401196828172,1543.2173051423476
1543.4016968281721,1543.2180268331808
1543.4021968281722,1543.2187484214176
1543.4026968281723,1543.2194699069255
1543.4031968281724,1543.2201912895734
1543.4036968281725,1543.2209125692302
1543.4041968281726,1543.2216337457633
1543.4046968281727,1543.2223548190407
1543.4051968281728,1543.2230757889324
1543.405696828173,1543.223796655305
1543.406196828173,1543.2245174180275
1543.4066968281732,1543.225238076969
1543.4071968281733,1543.2259586319967
1543.4076968281734,1543.22667908298
1543.4081968281735,1543.227399429786
1543.4086968281736,1543.2281196722843
1543.4091968281737,1543.2288398103422
1543.4096968281738,1543.2295598438286
1543.4101968281739,1543.230279772612
1543.410696828174,1543.2309995965602
1543.411196828174,1543.2317193155423
1543.4116968281742,1543.2324389294256
1543.4121968281743,1543.2331584380793
1543.4126968281744,1543.2338778413716
1543.4131968281745,1543.2345971391703
1543.4136968281746,1543.2353163313448
1543.4141968281747,1543.2360354177627
1543.4146968281748,1543.236754398292
1543.4151968281749,1543.237473272802
1543.415696828175,1543.2381920411606
1543.416196828175,1543.2389107032354
1543.4166968281752,1543.2396292588965
1543.4171968281753,1543.2403477080102
1543.4176968281754,1543.2410660504463
1543.4181968281755,1543.2417842860725
1543.4186968281756,1543.2425024147578
1543.4191968281757,1543.24322043637
1543.4196968281758,1543.243938350777
1543.420196828176,1543.2446561578479
1543.420696828176,1543.2453738574504
1543.421196828176,1543.2460914494543
1543.4216968281762,1543.2468089337265
1543.4221968281763,1543.2475263101355
1543.4226968281764,1543.2482435785496
1543.4231968281765,1543.2489607388377
1543.4236968281766,1543.249677790868
1543.4241968281767,1543.250394734509
1543.4246968281768,1543.2511115696284
1543.425196828177,1543.251828296095
1543.425696828177,1543.2525449137768
1543.4261968281771,1543.253261422543
1543.4266968281772,1543.2539778222613
1543.4271968281773,1543.2546941127994
1543.4276968281774,1543.2554102940267
1543.4281968281775,1543.2561263658115
1543.4286968281776,1543.2568423280218
1543.4291968281777,1543.2575581805258
1543.4296968281778,1543.2582739231918
1543.430196828178,1543.2589895558885
1543.430696828178,1543.259705078484
1543.4311968281781,1543.2604204908473
1543.4316968281782,1543.261135792846
1543.4321968281783,1543.2618509843485
1543.4326968281785,1543.2625660652232
1543.4331968281786,1543.263281035339
1543.4336968281787,1543.2639958945635
1543.4341968281788,1543.264710642765
1543.4346968281789,1543.2654252798127
1543.435196828179,1543.2661398055743
1543.435696828179,1543.266854219918
1543.4361968281792,1543.2675685227127
1543.4366968281793,1543.2682827138267
1543.4371968281794,1543.2689967931274
1543.4376968281795,1543.2697107604845
1543.4381968281796,1543.2704246157653
1543.4386968281797,1543.2711383588387
1543.4391968281798,1543.2718519895727
1543.4396968281799,1543.2725655078364
1543.44019682818,1543.2732789134973
1543.44069682818,1543.2739922064238
1543.4411968281802,1543.2747053864844
1543.4416968281803,1543.275418453548
1543.4421968281804,1543.276131407482
1543.4426968281805,1543.2768442481552
1543.4431968281806,1543.2775569754363
1543.4436968281807,1543.278269589193
1543.4441968281808,1543.2789820892942
1543.444696828181,1543.2796944756076
1543.445196828181,1543.2804067480022
1543.445696828181,1543.2811189063466
1543.4461968281812,1543.2818309505078
1543.4466968281813,1543.282542880355
1543.4471968281814,1543.2832546957568
1543.4476968281815,1543.2839663965817
1543.4481968281816,1543.2846779826968
1543.4486968281817,1543.285389453972
1543.4491968281818,1543.286100810274
1543.449696828182,1543.286812051473
1543.450196828182,1543.2875231774358
1543.4506968281821,1543.2882341880315
1543.4511968281822,1543.288945083128
1543.4516968281823,1543.2896558625944
1543.4521968281824,1543.2903665262982
1543.4526968281825,1543.2910770741084
1543.4531968281826,1543.291787505893
1543.4536968281827,1543.2924978215203
1543.4541968281828,1543.2932080208584
1543.454696828183,1543.2939181037766
1543.455196828183,1543.2946280701424
1543.4556968281831,1543.2953379198243
1543.4561968281832,1543.2960476526907
1543.4566968281833,1543.29675726861
1543.4571968281834,1543.2974667674507
1543.4576968281835,1543.298176149081
1543.4581968281836,1543.2988854133691
1543.4586968281837,1543.2995945601836
1543.4591968281838,1543.3003035893928
1543.459696828184,1543.3010125008643
1543.460196828184,1543.301721294468
1543.4606968281842,1543.3024299700708
1543.4611968281843,1543.3031385275413
1543.4616968281844,1543.3038469667483
1543.4621968281845,1543.3045552875603
1543.4626968281846,1543.3052634898454
1543.4631968281847,1543.3059715734714
1543.4636968281848,1543.3066795383074
1543.4641968281849,1543.3073873842213
1543.464696828185,1543.3080951110821
1543.465196828185,1543.308802718757
1543.4656968281852,1543.3095102071154
1543.4661968281853,1543.310217576025
1543.4666968281854,1543.3109248253543
1543.4671968281855,1543.311631954972
1543.4676968281856,1543.3123389647462
1543.4681968281857,1543.3130458545454
1543.4686968281858,1543.3137526242372
1543.4691968281859,1543.3144592736908
1543.469696828186,1543.3151658027741
1543.470196828186,1543.3158722113556
1543.4706968281862,1543.316578499304
