wl_calc,spectrum_peak_nm_fit
1544.8862335001313,1543.8486847821282
1544.8864335001313,1543.8507094646232
1544.8866335001312,1543.852730976373
1544.8868335001312,1543.8547492573816
1544.887033500131,1543.856764247655
1544.887233500131,1543.8587758871977
1544.887433500131,1543.8607841160142
1544.887633500131,1543.8627888741094
1544.887833500131,1543.8647901014883
1544.8880335001309,1543.8667877381565
1544.8882335001308,1543.8687817241182
1544.8884335001308,1543.870771999378
1544.8886335001307,1543.8727585039408
1544.8888335001307,1543.8747411778124
1544.8890335001306,1543.876719960997
1544.8892335001306,1543.8786947934996
1544.8894335001305,1543.8806656153247
1544.8896335001305,1543.8826323664778
1544.8898335001304,1543.8845949869637
1544.8900335001304,1543.886553416787
1544.8902335001303,1543.8885075959522
1544.8904335001303,1543.8904574644653
1544.8906335001302,1543.8924029623302
1544.8908335001302,1543.8943440295523
1544.89103350013,1543.896280606136
1544.89123350013,1543.8982126320868
1544.89143350013,1543.9001400474094
1544.89163350013,1543.9020627921082
1544.89183350013,1543.9039808061884
1544.8920335001299,1543.905894029655
1544.8922335001298,1543.9078024025127
1544.8924335001298,1543.9097058647671
1544.8926335001297,1543.911604356422
1544.8928335001297,1543.9134978174827
1544.8930335001296,1543.915386187954
1544.8932335001296,1543.9172694078413
1544.8934335001295,1543.9191474171485
1544.8936335001295,1543.9210201558817
1544.8938335001294,1543.9228875640451
1544.8940335001294,1543.9247495816433
1544.8942335001293,1543.9266061486815
1544.8944335001293,1543.928457205165
1544.8946335001292,1543.930302691098
1544.8948335001292,1543.932142546486
1544.895033500129,1543.933976711333
1544.895233500129,1543.9358051256445
1544.895433500129,1543.9376277294252
1544.895633500129,1543.9394444626805
1544.895833500129,1543.9412552654148
1544.8960335001289,1543.943060077633
1544.8962335001288,1543.9448588393398
1544.8964335001288,1543.9466514905403
1544.8966335001287,1543.9484379734563
1544.8968335001287,1543.9502182781391
1544.8970335001286,1543.9519924407878
1544.8972335001286,1543.9537604994794
1544.8974335001285,1543.9555224922906
1544.8976335001284,1543.9572784573004
1544.8978335001284,1543.9590284325843
1544.8980335001283,1543.9607724562206
1544.8982335001283,1543.9625105662867
1544.8984335001282,1543.9642428008594
1544.8986335001282,1543.9659691980166
1544.8988335001281,1543.9676897958357
1544.899033500128,1543.9694046323937
1544.899233500128,1543.9711137457675
1544.899433500128,1543.9728171740358
1544.899633500128,1543.9745149552748
1544.899833500128,1543.9762071275625
1544.9000335001278,1543.9778937289752
1544.9002335001278,1543.9795747975918
1544.9004335001277,1543.9812503714888
1544.9006335001277,1543.9829204887433
1544.9008335001276,1543.984585187433
1544.9010335001276,1543.9862445056353
1544.9012335001275,1543.9878984814277
1544.9014335001275,1543.9895471528869
1544.9016335001274,1543.991190558091
1544.9018335001274,1543.992828735117
1544.9020335001273,1543.9944617220417
1544.9022335001273,1543.9960895569438
1544.9024335001272,1543.9977122778996
1544.9026335001272,1543.9993299229866
1544.9028335001271,1544.0009425302821
1544.903033500127,1544.0025501378636
1544.903233500127,1544.0041527838093
1544.903433500127,1544.0057505061945
1544.903633500127,1544.0073433430985
1544.903833500127,1544.0089313325975
1544.9040335001268,1544.01051451277
1544.9042335001268,1544.0120929216919
1544.9044335001267,1544.0136665974417
1544.9046335001267,1544.0152355780963
1544.9048335001266,1544.0167999017326
1544.9050335001266,1544.018359606429
1544.9052335001265,1544.019914730262
1544.9054335001265,1544.0214653113092
1544.9056335001264,1544.0230113876482
1544.9058335001264,1544.0245529973558
1544.9060335001263,1544.0260901785098
1544.9062335001263,1544.0276229691874
1544.9064335001262,1544.0291514074659
1544.9066335001262,1544.0306755314227
1544.9068335001261,1544.0321953791354
1544.907033500126,1544.033710988681
1544.907233500126,1544.0352223981367
1544.907433500126,1544.0367296455806
1544.907633500126,1544.0382327690893
1544.907833500126,1544.0397318067405
1544.9080335001258,1544.0412267966121
1544.9082335001258,1544.04271777678
1544.9084335001257,1544.0442047853228
1544.9086335001257,1544.0456878603168
1544.9088335001256,1544.0471670398406
1544.9090335001256,1544.0486423619702
1544.9092335001255,1544.0501138647842
1544.9094335001255,1544.0515815863598
1544.9096335001254,1544.0530455647734
1544.9098335001254,1544.054505838103
1544.9100335001253,1544.0559624444263
1544.9102335001253,1544.0574154218198
1544.9104335001252,1544.058864808361
1544.9106335001252,1544.0603106421283
1544.9108335001251,1544.061752961198
1544.911033500125,1544.0631918036472
1544.911233500125,1544.0646272075546
1544.911433500125,1544.066059210996
1544.911633500125,1544.0674878520497
1544.9118335001249,1544.0689131687932
1544.9120335001248,1544.0703351993034
1544.9122335001248,1544.0717539816571
1544.9124335001247,1544.073169553933
1544.9126335001247,1544.0745819542071
1544.9128335001246,1544.0759912205576
1544.9130335001246,1544.0773973910618
1544.9132335001245,1544.0788005037973
1544.9134335001245,1544.0802005968403
1544.9136335001244,1544.081597708269
1544.9138335001244,1544.0829918761608
1544.9140335001243,1544.084383138593
1544.9142335001243,1544.0857715336426
1544.9144335001242,1544.087157099387
1544.9146335001242,1544.0885398739042
1544.9148335001241,1544.089919895271
1544.915033500124,1544.0912972015644
1544.915233500124,1544.0926718308626
1544.915433500124,1544.0940438212422
1544.915633500124,1544.0954132107813
1544.9158335001239,1544.0967800375565
1544.9160335001238,1544.0981443396458
1544.9162335001238,1544.0995061551262
1544.9164335001237,1544.1008655220746
1544.9166335001237,1544.1022224785693
1544.9168335001236,1544.1035770626872
1544.9170335001236,1544.1049293125054
1544.9172335001235,1544.1062792661014
1544.9174335001235,1544.1076269615533
1544.9176335001234,1544.1089724369367
1544.9178335001234,1544.110315730331
1544.9180335001233,1544.111656879812
1544.9182335001233,1544.1129959234577
1544.9184335001232,1544.1143328993458
1544.9186335001232,1544.115667845553
1544.9188335001231,1544.1170008001568
1544.919033500123,1544.1183318012347
1544.919233500123,1544.1196608868638
1544.919433500123,1544.120988095122
1544.919633500123,1544.1223134640861
1544.9198335001229,1544.1236370318338
1544.9200335001228,1544.124958836442
1544.9202335001228,1544.1262789159885
1544.9204335001227,1544.1275973085503
1544.9206335001227,1544.1289140522053
1544.9208335001226,1544.1302291850302
1544.9210335001226,1544.1315427451027
1544.9212335001225,1544.1328547705002
1544.9214335001225,1544.1341652992994
1544.9216335001224,1544.1354743695788
1544.9218335001224,1544.1367820194153
1544.9220335001223,1544.138088286886
1544.9222335001223,1544.1393932100675
1544.9224335001222,1544.1406968270387
1544.9226335001222,1544.1419991758764
1544.9228335001221,1544.1433002946576
1544.923033500122,1544.1446002214595
1544.923233500122,1544.1458989943603
1544.923433500122,1544.1471966514366
1544.923633500122,1544.1484932307658
1544.9238335001219,1544.1497887704259
1544.9240335001218,1544.1510833084933
1544.9242335001218,1544.1523768830461
1544.9244335001217,1544.1536695321615
1544.9246335001217,1544.1549612939161
1544.9248335001216,1544.1562522063884
1544.9250335001216,1544.1575423076556
1544.9252335001215,1544.1588316357945
1544.9254335001215,1544.160120228882
1544.9256335001214,1544.1614081249968
1544.9258335001214,1544.1626953622153
1544.9260335001213,1544.1639819786149
1544.9262335001213,1544.165268012274
1544.9264335001212,1544.1665535012683
1544.9266335001212,1544.167838483676
1544.9268335001211,1544.1691229975745
1544.927033500121,1544.1704070810413
1544.927233500121,1544.1716907721532
1544.927433500121,1544.172974108988
1544.927633500121,1544.174257129623
1544.9278335001209,1544.175539872135
1544.9280335001208,1544.176822374602
1544.9282335001208,1544.1781046751016
1544.9284335001207,1544.17938681171
1544.9286335001207,1544.1806688225058
1544.9288335001206,1544.1819507455652
1544.9290335001206,1544.1832326189667
1544.9292335001205,1544.1845144807871
1544.9294335001205,1544.1857963691032
1544.9296335001204,1544.187078321993
1544.9298335001204,1544.1883603775343
1544.9300335001203,1544.1896425738037
1544.9302335001203,1544.1909249488788
1544.9304335001202,1544.1922075408363
1544.9306335001202,1544.1934903877548
1544.9308335001201,1544.194773527711
1544.93103350012,1544.196056998782
1544.93123350012,1544.1973408390452
1544.93143350012,1544.1986250865787
1544.93163350012,1544.199909779459
1544.9318335001199,1544.2011949557636
1544.9320335001198,1544.20248065357
1544.9322335001198,1544.2037669109557
1544.9324335001197,1544.205053765998
1544.9326335001197,1544.206341256774
1544.9328335001196,1544.2076294213614
1544.9330335001196,1544.2089182978373
1544.9332335001195,1544.210207924279
1544.9334335001195,1544.2114983387637
1544.9336335001194,1544.2127895793694
1544.9338335001194,1544.2140816841734
1544.9340335001193,1544.215374691252
1544.9342335001193,1544.2166686386836
1544.9344335001192,1544.217963564545
1544.9346335001192,1544.2192595069139
1544.934833500119,1544.2205565038673
1544.935033500119,1544.2218545934832
1544.935233500119,1544.2231538138383
1544.935433500119,1544.22445420301
1544.935633500119,1544.2257557990758
1544.9358335001189,1544.2270586401132
1544.9360335001188,1544.2283627641993
1544.9362335001188,1544.2296682094118
1544.9364335001187,1544.2309750138274
1544.9366335001187,1544.2322832155244
1544.9368335001186,1544.2335928525788
1544.9370335001186,1544.2349039630697
1544.9372335001185,1544.2362165850732
1544.9374335001185,1544.237530756667
1544.9376335001184,1544.2388465159277
1544.9378335001184,1544.2401639009342
